dia,S,I,R,D
248,958026,3044,35356,3574
249,957666,3046,35683,3605
250,957321,3031,36013,3635
251,956984,3045,36317,3654
252,956641,3062,36611,3686
253,956294,3096,36889,3721
254,955928,3125,37190,3757
255,955583,3114,37519,3784
256,955194,3154,37832,3820
257,954829,3165,38154,3852
258,954482,3150,38470,3898
259,954120,3156,38793,3931
260,953781,3171,39088,3960
261,953431,3164,39416,3989
262,953071,3190,39716,4023
263,952695,3226,40022,4057
264,952349,3196,40373,4082
265,951953,3257,40686,4104
266,951606,3252,41005,4137
267,951237,3282,41309,4172
268,950843,3322,41625,4210
269,950459,3289,42000,4252
270,950100,3316,42301,4283
271,949704,3371,42611,4314
272,949306,3434,42917,4343
273,948891,3475,43254,4380
274,948488,3486,43614,4412
275,948119,3485,43941,4455
276,947729,3475,44305,4491
277,947312,3504,44659,4525
278,946917,3514,45012,4557
279,946531,3501,45372,4596
280,946149,3497,45719,4635
281,945743,3550,46043,4664
282,945359,3538,46397,4706
283,944963,3552,46737,4748
284,944614,3497,47114,4775
285,944221,3492,47476,4811
286,943882,3490,47796,4832
287,943490,3518,48128,4864
288,943074,3506,48519,4901
289,942674,3518,48874,4934
290,942282,3536,49216,4966
291,941842,3580,49580,4998
292,941434,3592,49943,5031
293,941023,3596,50312,5069
294,940597,3614,50690,5099
295,940187,3610,51069,5134
296,939751,3667,51420,5162
297,939323,3732,51749,5196
298,938871,3790,52112,5227
299,938453,3779,52497,5271
300,938020,3773,52887,5320
301,937616,3736,53281,5367
302,937202,3712,53671,5415
303,936795,3719,54035,5451
304,936367,3729,54421,5483
305,935893,3800,54790,5517
306,935478,3791,55179,5552
307,934992,3880,55540,5588
308,934540,3885,55946,5629
309,934124,3886,56318,5672
310,933686,3914,56691,5709
311,933247,3938,57065,5750
312,932791,3959,57458,5792
313,932330,3984,57846,5840
314,931921,3943,58255,5881
315,931505,3929,58657
