dia,S,I,R,D,R_eff
182,977608,2184,18411,1797,0.9968
183,977363,2180,18637,1820,0.9982
184,977127,2189,18847,1837,1.0041
185,976863,2183,19090,1864,0.9973
186,976610,2197,19308,1885,1.0064
187,976343,2203,19546,1908,1.0027
188,976098,2212,19765,1925,1.0041
189,975847,2200,20011,1942,0.9946
190,975591,2220,20218,1971,1.0091
191,975335,2245,20434,1986,1.0113
192,975067,2253,20670,2010,1.0036
193,974799,2257,20905,2039,1.0018
194,974535,2269,21119,2077,1.0053
195,974255,2300,21344,2101,1.0137
196,973998,2309,21571,2122,1.0039
197,973742,2325,21789,2144,1.0069
198,973463,2352,22022,2163,1.0116
199,973183,2348,22278,2191,0.9983
200,972919,2363,22511,2207,1.0064
201,972632,2409,22724,2235,1.0195
202,972345,2444,22956,2255,1.0145
203,972071,2440,23219,2270,0.9984
204,971796,2445,23472,2287,1.0020
205,971516,2461,23704,2319,1.0065
206,971232,2483,23944,2341,1.0089
207,970920,2526,24192,2362,1.0173
208,970587,2618,24404,2391,1.0364
209,970266,2662,24658,2414,1.0168
210,969957,2696,24912,2435,1.0128
211,969666,2676,25198,2460,0.9926
212,969365,2689,25461,2485,1.0049
213,969061,2706,25728,2505,1.0063
214,968792,2658,26014,2536,0.9823
215,968484,2701,26250,2565,1.0162
216,968168,2724,26511,2597,1.0085
217,967829,2777,26767,2627,1.0195
218,967516,2788,27044,2652,1.0040
219,967230,2800,27293,2677,1.0043
220,966920,2795,27580,2705,0.9982
221,966612,2805,27843,2740,1.0036
222,966323,2774,28145,2758,0.9889
223,966029,2769,28422,2780,0.9982
224,965717,2778,28703,2802,1.0033
225,965408,2786,28968,2838,1.0029
226,965102,2788,29240,2870,1.0007
227,964801,2801,29498,2900,1.0047
228,964479,2808,29791,2922,1.0025
229,964146,2820,30079,2955,1.0043
230,963798,2876,30348,2978,1.0199
231,963463,2894,30639,3004,1.0063
232,963117,2916,30935,3032,1.0076
233,962787,2931,31215,3067,1.0051
234,962469,2937,31506,3088,1.0020
235,962144,2927,31817,3112,0.9966
236,961798,2936,32123,3143,1.0031
237,961458,2978,32394,3170,1.0143
238,961080,3021,32699,3200,1.0144
239,960739,3010,33020,3231,0.9964
240,960419,2999,33316,3266,0.9963
241,960088,2997,33629,3286,0.9993
242,959753,2974,33951,3322,0.9923
243,959432,2981,34243,3344,1.0024
244,959101,2962,34564,3373,0.9936
245,958758,2979,34859,3404,1.0057
246,958386,3042,35139,3433,1.0211
247,958052,3058,35432,3458,1.0053
248,957722,3078,35715,3485,1.0065
249,957390,3057,36045,3508,0.9932
250,957023,3072,36366,3539,1.0049
251,956658,3079,36687,3576,1.0023
252,956301,3080,37004,3615,1.0003
253,955941,3111,37309,3639,1.0101
254,955572,3123,37644,3661,1.0039
255,955208,3174,37929,3689,1.0163
256,954842,3174,38252,3732,1.0000
